auction_id	auction_description	round	bidder_frn	bidder_name	item_name	item_description	round_of_pwb	pwb_amount	net_pwb_amount
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA042-B	Bridgeport-Stamford-Danbury CT	25	34837000.0000	34837000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA043-B	Norfolk-Virginia Beach, VA-NC	19	42352000.0000	42352000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA058-B	Allentown-Bethlehem, PA-NJ	27	25572000.0000	25572000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA059-B	Richmond, VA	31	24745000.0000	24745000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA060-B	Orlando, FL	26	87282000.0000	87282000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA074-B	Fresno, CA	44	14057000.0000	14057000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA075-B	Austin, TX	37	37045000.0000	37045000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA076-B	New Bedford-Fall River, MA	31	5936000.0000	5936000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA092-B	Little Rock, AR	23	16582000.0000	16582000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA093-B	Las Vegas, NV	26	82281000.0000	82281000.0000	
73	700 MHz Band	261	0001731470	Puerto Rico Telephone Company, Inc.	WY-CMA091-B	San Juan-Caguas, PR	69	11498000.0000	11498000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA109-B	Spokane, WA	27	8309000.0000	8309000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA110-B	Huntington-Ashland, WV-KY-OH	18	3475000.0000	3475000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA108-B	Augusta, GA-SC	25	8669000.0000	8669000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA125-B	Appleton-Oskosh-Neenah, WI	37	6908000.0000	6908000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA126-B	Salinas-Seaside-Monterey, CA	31	4963000.0000	4963000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA142-B	Modesto, CA	31	12193000.0000	12193000.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-CMA143-B	Johnstown, PA	51	158000.0000	118500.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA144-B	Orange County, NY	83	1831000.0000	1831000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA159-B	Provo-Orem, UT	27	6032000.0000	6032000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA160-B	Killeen-Temple, TX	31	4324000.0000	4324000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA161-B	Lubbock, TX	24	714000.0000	714000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA176-B	Springfield, IL	18	1618000.0000	1213500.0000	
73	700 MHz Band	261	0003778362	Agri-Valley Communications, Inc.	WY-CMA177-B	Battle Creek, MI	129	375000.0000	318750.0000	
73	700 MHz Band	261	0016191827	GreenFly LLC	WY-CMA178-B	Wheeling, WV-OH	57	159000.0000	119250.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA193-B	Benton Harbor, MI	111	423000.0000	317250.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA194-B	Waco, TX	25	951000.0000	951000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA195-B	Cedar Rapids, IA	21	3047000.0000	2285250.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA210-B	Fort Collins-Loveland, CO	25	2076000.0000	2076000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA211-B	Bradenton, FL	24	1780000.0000	1780000.0000	
73	700 MHz Band	261	0004321451	Whidbey Telephone Company	WY-CMA212-B	Bremerton, WA	35	1902000.0000	1616700.0000	
73	700 MHz Band	261	0004322350	West Carolina Communications, LLC	WY-CMA227-B	Anderson, SC	21	406000.0000	345100.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA228-B	Vineland-Millville, NJ	70	313000.0000	313000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA229-B	Medford, OR	27	775000.0000	581250.0000	
73	700 MHz Band	261	0015014202	Cox Wireless, Inc.	WY-CMA245-B	Ocala, FL	27	6117000.0000	6117000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA246-B	Dothan, AL	41	2129000.0000	2129000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA247-B	Lafayette, IN	87	905000.0000	678750.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA262-B	Danville, VA	21	123000.0000	92250.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA263-B	Wausau, WI	22	3907000.0000	2930250.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA264-B	Florence, SC	21	2355000.0000	2355000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA280-B	Burlington, NC	193	489000.0000	366750.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA281-B	Laredo, TX	18	483000.0000	483000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA282-B	Bloomington, IN	27	567000.0000	425250.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA297-B	Great Falls, MT	24	648000.0000	648000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA299-B	Casper, WY	24	488000.0000	488000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA314-B	Alabama 8 - Lee	41	383000.0000	383000.0000	
73	700 MHz Band	261	0000021188	AlasConnect, Inc.	WY-CMA315-B	Alaska 1 - Wade Hampton	41	560000.0000	560000.0000	
73	700 MHz Band	261	0014820641	MTA Communications, Inc.	WY-CMA316-B	Alaska 2 - Bethel	6	197000.0000	197000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA331-B	Arkansas 8 - Franklin	169	170000.0000	170000.0000	
73	700 MHz Band	261	0012882643	Pine Cellular Phones, Inc.	WY-CMA332-B	Arkansas 9 - Polk	27	411000.0000	349350.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA333-B	Arkansas 10 - Garland	89	102000.0000	102000.0000	
73	700 MHz Band	261	0017190224	Club 42 CM Limited Partnership	WY-CMA347-B	California 12 - Kings	27	298000.0000	223500.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA348-B	Colorado 1 - Moffat	27	944000.0000	944000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA349-B	Colorado 2 - Logan	24	623000.0000	623000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA363-B	Florida 4 - Citrus	22	7185000.0000	7185000.0000	
73	700 MHz Band	261	0017196320	Dragon Arch, Inc.	WY-CMA364-B	Florida 5 - Putnam	242	366000.0000	274500.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-CMA365-B	Florida 6 - Dixie	242	35000.0000	26250.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA380-B	Georgia 10 - Bleckley	119	737000.0000	737000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-CMA381-B	Georgia 11 - Toombs	81	92000.0000	69000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA382-B	Georgia 12 - Liberty	128	3059000.0000	3059000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA397-B	Illinois 4 - Adams	18	1744000.0000	1744000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA398-B	Illinois 5 - Mason	111	550000.0000	412500.0000	
73	700 MHz Band	261	0017163114	I-700, LLC	WY-CMA399-B	Illinois 6 - Montgomery	58	836000.0000	836000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA414-B	Iowa 3 - Monroe	21	1867000.0000	1400250.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA415-B	Iowa 4 - Muscatine	21	3959000.0000	2969250.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA416-B	Iowa 5 - Jackson	21	1800000.0000	1350000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA432-B	Kansas 5 - Brown	32	2064000.0000	2064000.0000	
73	700 MHz Band	261	0004310769	The S&T Telephone Cooperative Associatio	WY-CMA433-B	Kansas 6 - Wallace	27	64000.0000	54400.0000	
73	700 MHz Band	261	0002331262	Blue Valley Tele-Communications, Inc.	WY-CMA431-B	Kansas 4 - Marshall	22	2021000.0000	1515750.0000	
73	700 MHz Band	261	0010698868	Bluegrass Wireless LLC	WY-CMA448-B	Kentucky 6 - Madison	21	727000.0000	727000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA449-B	Kentucky 7 - Trimble	55	1013000.0000	1013000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA450-B	Kentucky 8 - Mason	51	829000.0000	829000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA572-B	North Carolina 8 - Northampton	34	12393000.0000	12393000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA573-B	North Carolina 9 - Camden	103	285000.0000	213750.0000	
73	700 MHz Band	261	0015755309	Gold Radio Group, LLC	WY-CMA588-B	Ohio 4 - Mercer	70	710000.0000	603500.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA589-B	Ohio 5 - Hancock	27	468000.0000	351000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA590-B	Ohio 6 - Morrow	18	3782000.0000	3782000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA606-B	Oregon 1 - Clatsop	39	711000.0000	711000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA607-B	Oregon 2 - Hood River	27	1068000.0000	801000.0000	
73	700 MHz Band	261	0012882643	Pine Cellular Phones, Inc.	WY-CMA605-B	Oklahoma 10 - Haskell	29	1235000.0000	1049750.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA621-B	Pennsylvania 10 - Bedford	24	134000.0000	100500.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-CMA622-B	Pennsylvania 11 - Huntington	150	55000.0000	41250.0000	
73	700 MHz Band	261	0008209629	N.E. Colorado Wireless Technologies, Inc	WY-CMA638-B	South Dakota 5 - Custer	36	249000.0000	249000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA637-B	South Dakota 4 - Marshall	18	658000.0000	658000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA653-B	Texas 2 - Hansford	24	587000.0000	587000.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-CMA654-B	Texas 3 - Parmer	61	204000.0000	153000.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-CMA655-B	Texas 4 - Briscoe	167	42000.0000	31500.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA670-B	Texas 19 - Atascosa	21	316000.0000	316000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA671-B	Texas 20 - Wilson	62	260000.0000	260000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA672-B	Texas 21 - Chambers	32	673000.0000	673000.0000	
73	700 MHz Band	261	0002031698	Buggs Island Telephone Cooperative	WY-CMA687-B	Virginia 7 - Buckingham	29	615000.0000	461250.0000	
73	700 MHz Band	261	0002031698	Buggs Island Telephone Cooperative	WY-CMA688-B	Virginia 8 - Amelia	222	252000.0000	189000.0000	
73	700 MHz Band	261	0002031698	Buggs Island Telephone Cooperative	WY-CMA689-B	Virginia 9 - Greensville	117	265000.0000	198750.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA703-B	West Virginia 3 - Monongalia	14	511000.0000	383250.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA704-B	West Virginia 4 - Grant	24	658000.0000	493500.0000	
73	700 MHz Band	261	0015031065	Manti Telephone Company	WY-CMA720-B	Wyoming 3 - Lincoln	27	2027000.0000	1520250.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA719-B	Wyoming 2 - Sheridan	26	1539000.0000	1539000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA334-B	Arkansas 11 - Hempstead	93	129000.0000	129000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA335-B	Arkansas 12 - Ouachita	93	263000.0000	263000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA008-E	Buffalo-Niagara Falls NY-PA	8	971000.0000	971000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA009-A	State College PA	26	1144000.0000	858000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA024-A	Columbia SC	39	2782000.0000	2086500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA023-E	Charlotte-Gastonia NC-SC	57	6650000.0000	6650000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA041-A	Greenville-Spartanburg SC-NC	49	3181000.0000	2385750.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA040-E	Atlanta GA-AL-NC	49	32098000.0000	32098000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA036-A	Dothan AL-FL-GA	74	7973000.0000	7973000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA036-E	Dothan AL-FL-GA	93	625000.0000	625000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA058-A	Northern Michigan MI	74	450000.0000	450000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA057-E	Detroit-Ann Arbor-Flint MI	47	32719000.0000	32719000.0000	
73	700 MHz Band	261	0017145137	MCBRIDE SPECTRUM PARTNERS, LLC	WY-BEA053-A	Pittsburgh PA-WV	69	8407000.0000	6305250.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-BEA054-A	Erie PA	122	379000.0000	284250.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA053-E	Pittsburgh PA-WV	8	3757000.0000	3757000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA074-E	Huntsville AL-TN	116	600000.0000	600000.0000	
73	700 MHz Band	261	0005411426	Cellular South Licenses, Inc.	WY-BEA075-A	Tupelo MS-AL-TN	73	5219000.0000	5219000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA070-E	Louisville KY-IN	26	2258000.0000	2258000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA070-A	Louisville KY-IN	75	3620000.0000	2715000.0000	
73	700 MHz Band	261	0005411426	Cellular South Licenses, Inc.	WY-BEA071-A	Nashville TN-KY	27	49201000.0000	49201000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA091-E	Fort Smith AR-OK	94	783000.0000	783000.0000	
73	700 MHz Band	261	0015014202	Cox Wireless, Inc.	WY-BEA092-A	Fayetteville AR-MO-OK	117	6180000.0000	6180000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA087-E	Beaumont-Port Arthur TX	83	460000.0000	460000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA087-A	Beaumont-Port Arthur TX	29	1167000.0000	875250.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA088-A	Shreveport-Bossier City LA-AR	30	4499000.0000	4499000.0000	
73	700 MHz Band	261	0004059523	NSIGHTTEL WIRELESS, LLC	WY-BEA109-A	Duluth-Superior MN-WI	40	2403000.0000	2403000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA108-E	Wausau WI	83	355000.0000	355000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-BEA104-A	Madison WI-IL-IA	40	23037000.0000	17277750.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA105-A	La Crosse WI-MN	156	7150000.0000	7150000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA104-E	Madison WI-IL-IA	40	1334000.0000	1334000.0000	
73	700 MHz Band	261	0001700863	Pioneer Telephone Cooperative, Inc.	WY-BEA126-A	Western Oklahoma OK	26	252000.0000	252000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA125-E	Oklahoma City OK	8	5434000.0000	5434000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-BEA121-A	North Platte NE-CO	129	102000.0000	76500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA121-E	North Platte NE-CO	129	61000.0000	61000.0000	
73	700 MHz Band	261	0001630201	Union Telephone Company	WY-BEA143-A	Casper WY-ID-UT	27	3797000.0000	3797000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA142-E	Scottsbluff NE-WY	105	150000.0000	150000.0000	
73	700 MHz Band	261	0017195561	Miller, David	WY-BEA138-A	Amarillo TX-NM	76	795000.0000	596250.0000	
73	700 MHz Band	261	0017163254	SAL Spectrum, LLC	WY-BEA139-A	Santa Fe NM	183	1036000.0000	1036000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA138-E	Amarillo TX-NM	85	292000.0000	292000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-BEA160-A	LA-Riverside-Orange Cnty CA-AZ	20	580268000.0000	580268000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA159-E	Tucson AZ	123	1950000.0000	1950000.0000	
73	700 MHz Band	261	0004964318	QUALCOMM Incorporated	WY-BEA160-E	LA-Riverside-Orange Cnty CA-AZ	84	154999000.0000	154999000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA155-E	Farmington NM-CO	93	168000.0000	168000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-BEA155-A	Farmington NM-CO	90	1489000.0000	1489000.0000	
73	700 MHz Band	261	0017190216	Continuum 700 LLC	WY-BEA156-A	Albuquerque NM-AZ	175	4538000.0000	3403500.0000	
73	700 MHz Band	261	0003194933	CHEVRON USA INC.	WY-BEA176-E	Gulf of Mexico	75	217000.0000	217000.0000	
73	700 MHz Band	261	0003194933	CHEVRON USA INC.	WY-BEA176-A	Gulf of Mexico	37	771000.0000	771000.0000	
73	700 MHz Band	261	0017190224	Club 42 CM Limited Partnership	WY-BEA175-E	American Samoa	254	17000.0000	12750.0000	
73	700 MHz Band	261	0005411426	Cellular South Licenses, Inc.	WY-BEA045-A	Johnson City-Kingsport TN-VA	96	1108000.0000	1108000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA044-E	Knoxville TN	59	842000.0000	842000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA045-E	Johnson City-Kingsport TN-VA	34	303000.0000	303000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA129-E	San Angelo TX	132	153000.0000	153000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-BEA130-A	Austin-San Marcos TX	21	17370000.0000	17370000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA147-A	Spokane WA-ID	29	4445000.0000	3333750.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA146-E	Missoula MT	93	810000.0000	810000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA147-E	Spokane WA-ID	129	1048000.0000	1048000.0000	
73	700 MHz Band	261	0017163114	I-700, LLC	WY-CMA236-B	Muncie, IN	107	381000.0000	381000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA237-B	Tyler, TX	22	1270000.0000	1270000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA238-B	Sharon, PA	19	350000.0000	262500.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA026-E	Charleston-North Charleston SC	59	538000.0000	538000.0000	
73	700 MHz Band	261	0017190216	Continuum 700 LLC	WY-BEA026-A	Charleston-North Charleston SC	43	3955000.0000	2966250.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA025-E	Wilmington NC-SC	29	705000.0000	705000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA271-B	Kokomo, IN	79	624000.0000	624000.0000	
73	700 MHz Band	261	0005411426	Cellular South Licenses, Inc.	WY-CMA272-B	Gadsden, AL	21	502000.0000	502000.0000	
73	700 MHz Band	261	0017163114	I-700, LLC	WY-CMA273-B	Kankakee, IL	56	493000.0000	493000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA289-B	Rapid City, SD	24	1448000.0000	1448000.0000	
73	700 MHz Band	261	0015006471	CenturyTel Broadband Wireless LLC	WY-CMA290-B	La Crosse, WI	67	2971000.0000	2971000.0000	
73	700 MHz Band	261	0003194933	CHEVRON USA INC.	WY-CMA306-B	Gulf of Mexico	39	675000.0000	675000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA307-B	Alabama 1 - Franklin	111	3880000.0000	3880000.0000	
73	700 MHz Band	261	0005411426	Cellular South Licenses, Inc.	WY-CMA308-B	Alabama 2 - Jackson	25	2291000.0000	2291000.0000	
73	700 MHz Band	261	0004367074	C&W Enterprises, Inc.	WY-CMA356-B	Colorado 9 - Costilla	64	84000.0000	63000.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA357-B	Connecticut 1 - Litchfield	89	387000.0000	290250.0000	
73	700 MHz Band	261	0017182742	Triad 700, LLC	WY-CMA358-B	Connecticut 2 - Windham	89	240000.0000	180000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA372-B	Georgia 2 - Dawson	31	3908000.0000	3908000.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-CMA373-B	Georgia 3 - Chattooga	46	522000.0000	391500.0000	
73	700 MHz Band	261	0004321451	Whidbey Telephone Company	WY-CMA389-B	Idaho 2 - Idaho	32	58000.0000	49300.0000	
73	700 MHz Band	261	0015031065	Manti Telephone Company	WY-CMA390-B	Idaho 3 - Lemhi	28	212000.0000	159000.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA440-B	Kansas 13 - Edwards	24	304000.0000	304000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA441-B	Kansas 14 - Reno	27	1493000.0000	1119750.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA580-B	North Dakota 1 - Divide	10	190000.0000	190000.0000	
73	700 MHz Band	261	0015030844	Iowa Intelegra Consortium, LLC	WY-CMA581-B	North Dakota 2 - Bottineau	113	91000.0000	91000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA645-B	Tennessee 3 - Macon	42	3124000.0000	3124000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA646-B	Tennessee 4 - Hamblen	40	3633000.0000	3633000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA662-B	Texas 11 - Cherokee	45	1846000.0000	1846000.0000	
73	700 MHz Band	261	0017183237	Spectrum Acquisitions, Inc.	WY-CMA663-B	Texas 12 - Hudspeth	33	238000.0000	202300.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA680-B	Vermont 2 - Addison	24	9082000.0000	6811500.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA679-B	Vermont 1 - Franklin	36	1029000.0000	771750.0000	
73	700 MHz Band	261	0003290673	Cellco Partnership d/b/a Verizon Wireles	WY-CMA697-B	Washington 5 - Kittitas	26	1448000.0000	1448000.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA698-B	Washington 6 - Pacific	41	1478000.0000	1478000.0000	
73	700 MHz Band	261	0004321451	Whidbey Telephone Company	WY-CMA696-B	Washington 4 - Grays Harbor	38	792000.0000	673200.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA711-B	Wisconsin 4 - Marinette	100	5761000.0000	4320750.0000	
73	700 MHz Band	261	0014980726	AT&T Mobility Spectrum, LLC	WY-CMA712-B	Wisconsin 5 - Pierce	27	7633000.0000	7633000.0000	
73	700 MHz Band	261	0017169327	King Street Wireless, L.P.	WY-CMA713-B	Wisconsin 6 - Trempealeau	157	6278000.0000	4708500.0000	
73	700 MHz Band	261	0017164179	Worldcall Inc.	WY-CMA727-B	Puerto Rico 5 - Ceiba	109	112000.0000	84000.0000	
73	700 MHz Band	261	0017196320	Dragon Arch, Inc.	WY-CMA728-B	Puerto Rico 6 - Vieques	260	91000.0000	68250.0000	
73	700 MHz Band	261	0017164179	Worldcall Inc.	WY-CMA729-B	Puerto Rico 7 - Culebra	258	81000.0000	60750.0000	
73	700 MHz Band	261	0015024631	Cavalier Wireless, LLC	WY-BEA005-A	Albany-Schenectady-Troy NY	136	2888000.0000	2166000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA004-E	Burlington VT-NY	94	318000.0000	318000.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA028-E	Savannah GA-SC	108	394000.0000	394000.0000	
73	700 MHz Band	261	0017190216	Continuum 700 LLC	WY-BEA028-A	Savannah GA-SC	56	3899000.0000	2924250.0000	
73	700 MHz Band	261	0017173121	Frontier Wireless LLC	WY-BEA095-E	Jonesboro AR-MO	79	761000.0000	761000.0000	
